er,ip,ERA
0,0,
0,0.33,0.00
0,0.67,0.00
0,1,0.00
0,1.33,0.00
0,1.67,0.00
0,2,0.00
0,2.33,0.00
0,2.67,0.00
0,3,0.00
0,3.33,0.00
0,3.67,0.00
0,4,0.00
0,4.33,0.00
0,4.67,0.00
0,5,0.00
0,5.33,0.00
0,5.67,0.00
0,6,0.00
0,6.33,0.00
0,6.67,0.00
0,7,0.00
0,7.33,0.00
0,7.67,0.00
0,8,0.00
0,8.33,0.00
0,8.67,0.00
0,9,0.00
0,9.33,0.00
0,9.67,0.00
0,10,0.00
0,10.33,0.00
0,11,0.00
0,11.33,0.00
0,12,0.00
0,12.33,0.00
0,12.67,0.00
0,13.33,0.00
0,13.67,0.00
0,14.33,0.00
0,15,0.00
0,15.33,0.00
0,16,0.00
0,16.67,0.00
0,17.67,0.00
0,18,0.00
0,20,0.00
0,26,0.00
1,0,
1,0.33,27.27
1,0.67,13.43
1,1,9.00
1,1.33,6.77
1,1.67,5.39
1,2,4.50
1,2.33,3.86
1,2.67,3.37
1,3,3.00
1,3.33,2.70
1,3.67,2.45
1,4,2.25
1,4.33,2.08
1,4.67,1.93
1,5,1.80
1,5.33,1.69
1,5.67,1.59
1,6,1.50
1,6.33,1.42
1,6.67,1.35
1,7,1.29
1,7.33,1.23
1,7.67,1.17
1,8,1.13
1,8.33,1.08
1,8.67,1.04
1,9,1.00
1,9.33,0.96
1,9.67,0.93
1,10,0.90
1,10.33,0.87
1,10.67,0.84
1,11,0.82
1,11.33,0.79
1,11.67,0.77
1,12,0.75
1,12.33,0.73
1,12.67,0.71
1,13,0.69
1,13.33,0.68
1,13.67,0.66
1,14,0.64
1,14.33,0.63
1,14.67,0.61
1,15,0.60
1,15.33,0.59
1,15.67,0.57
1,16,0.56
1,16.33,0.55
1,16.67,0.54
1,17,0.53
1,17.67,0.51
1,18,0.50
1,18.33,0.49
1,20,0.45
1,20.67,0.44
1,21,0.43
1,22.33,0.40
1,23,0.39
1,24,0.38
2,0,
2,0.33,54.55
2,0.67,26.87
2,1,18.00
2,1.33,13.53
2,1.67,10.78
2,2,9.00
2,2.33,7.73
2,2.67,6.74
2,3,6.00
2,3.33,5.41
2,3.67,4.90
2,4,4.50
2,4.33,4.16
2,4.67,3.85
2,5,3.60
2,5.33,3.38
2,5.67,3.17
2,6,3.00
2,6.33,2.84
2,6.67,2.70
2,7,2.57
2,7.33,2.46
2,7.67,2.35
2,8,2.25
2,8.33,2.16
2,8.67,2.08
2,9,2.00
2,9.33,1.93
2,9.67,1.86
2,10,1.80
2,10.33,1.74
2,10.67,1.69
2,11,1.64
2,11.33,1.59
2,11.67,1.54
2,12,1.50
2,12.33,1.46
2,12.67,1.42
2,13,1.38
2,13.33,1.35
2,13.67,1.32
2,14,1.29
2,14.33,1.26
2,14.67,1.23
2,15,1.20
2,15.33,1.17
2,15.67,1.15
2,16,1.13
2,16.33,1.10
2,16.67,1.08
2,17,1.06
2,17.33,1.04
2,17.67,1.02
2,18,1.00
2,18.33,0.98
2,18.67,0.96
2,19,0.95
2,19.67,0.92
2,20,0.90
2,20.33,0.89
2,20.67,0.87
2,21,0.86
2,21.33,0.84
2,22,0.82
2,22.33,0.81
2,23,0.78
2,25,0.72
2,26,0.69
2,27,0.67
2,27.67,0.65
2,28.67,0.63
2,29,0.62
2,29.67,0.61
2,39.67,0.45
2,47.67,0.38
3,0,
3,0.33,81.82
3,0.67,40.30
3,1,27.00
3,1.33,20.30
3,1.67,16.17
3,2,13.50
3,2.33,11.59
3,2.67,10.11
3,3,9.00
3,3.33,8.11
3,3.67,7.36
3,4,6.75
3,4.33,6.24
3,4.67,5.78
3,5,5.40
3,5.33,5.07
3,5.67,4.76
3,6,4.50
3,6.33,4.27
3,6.67,4.05
3,7,3.86
3,7.33,3.68
3,7.67,3.52
3,8,3.38
3,8.33,3.24
3,8.67,3.11
3,9,3.00
3,9.33,2.89
3,9.67,2.79
3,10,2.70
3,10.33,2.61
3,10.67,2.53
3,11,2.45
